#
# ROCS Version - 6.84
#
# Save/Restore:  EBIT_L130_2016_07_20_201229_014N006_4000kV.set
#
# NOTE:  Save set with beam to end of line. Scaled from last
# NOTE:  75Ga26+ through BTS33. Second set of quads in S-Bend were
# NOTE:  decreased, as that save seems to have neglected this
# NOTE:  beneficial change in optics. Energy only measured with
# NOTE:  D1155 dipole, and D1296 field was set, but cavity was not
# NOTE:  re-adjusted. Beam does go through all apertures but the
# NOTE:  last two in BTS33. Dipoles NOT cycled. Object and Image of
# NOTE:  beam (D1256/D1316) NOT optimized. Goal was just to verify
# NOTE:  scaling with 75Ga26+ tune could get beam to the end OK.
# NOTE:  Transmission from L044 to L110 is ~69%, from L044 to D1420
# NOTE:  is ~55%.
# 
# BEAM:  Energy:  4000  keV/u
# BEAM:  Driver:  DBC
# 
# BEAM:  Current Monitor           Current       % Ratio      % Source    Units
# ____________________________________________________________________________________________
# 
# BEAM:  L044                        295.0        Source        Source    picoAmps
# BEAM:  L053                        294.0         99.66         99.66    picoAmps
# BEAM:  L061                        268.0         91.16         90.85    picoAmps
# BEAM:  L080                        187.0         69.78         63.39    picoAmps
# BEAM:  L092                        197.0        105.35         66.78    picoAmps
# BEAM:  L110                        204.0        103.55         69.15    picoAmps
# ____________________________________________________________________________________________
# ____________________________________________________________________________________________
# 
# SET CHANNEL                     SET VALUE     READCHANNEL                           READBACK
# ____________________________________________________________________________________________
# 
REA_EBIT:DG_N0001:OFST_RSET_CD        0.000     REA_EBIT:DG_N0001:OFST_CD                    0
REA_EBIT:DG_N0001:REF_RCMD_C             T0     REA_EBIT:DG_N0001:REF_C                      0
REA_EBIT:DG_N0001:REF_RCMD_D              C     REA_EBIT:DG_N0001:REF_D                      0
REA_EBIT:DG_N0001:POL_RCMD_CD           NEG     REA_EBIT:DG_N0001:POL_EF                     0
REA_EBIT:DG_N0001:AMPL_RSET_CD        4.000     REA_EBIT:DG_N0001:AMPL_EF                    0
REA_EBIT:DG_N0001:OFST_RSET_CD        0.000     REA_EBIT:DG_N0001:OFST_EF                    0
REA_EBIT:DG_N0001:REF_RCMD_E             T0     REA_EBIT:DG_N0001:REF_E                      0
REA_EBIT:DG_N0001:REF_RCMD_F              E     REA_EBIT:DG_N0001:REF_F                      0
REA_EBIT:DG_N0001:POL_RCMD_CD           NEG     REA_EBIT:DG_N0001:POL_GH                     0
REA_EBIT:DG_N0001:AMPL_RSET_CD        4.000     REA_EBIT:DG_N0001:AMPL_GH                    0
REA_EBIT:DG_N0001:OFST_RSET_CD        0.000     REA_EBIT:DG_N0001:OFST_GH                    0
REA_EBIT:DG_N0001:REF_RCMD_G             T0     REA_EBIT:DG_N0001:REF_G                      0
REA_EBIT:DG_N0001:REF_RCMD_H              G     REA_EBIT:DG_N0001:REF_H                      0
REA_EBIT:DG_N0001:BSTP_RCMD_MD     Disabled     REA_EBIT:DG_N0001:BSTP_MD                    0
REA_EBIT:DG_N0001:BSTP_RSET_DLY       0.000     REA_EBIT:DG_N0001:BSTP_DLY                   0
REA_EBIT:DG_N0001:BSTP_RCMD_PER     Channel     REA_EBIT:DG_N0001:BSTP_PER                   0
REA_EBIT:DG_N0001:BSTP_RSET_CNT           5     REA_EBIT:DG_N0001:BSTP_CNT                   0
REA_EBIT:DG_N0001:BSTP_RCMD_CNFG        All     REA_EBIT:DG_N0001:BSTP_CNFG                  0
REA_EBIT:FGEN_N0001:ON_CMD                1     REA_EBIT:FGEN_N0001:ON_RSTS                  1
REA_EBIT:FGEN_N0001:FR_RSET          18.868     REA_EBIT:FGEN_N0001:FR_RSET         18.8679000
REA_EBIT:FGEN_N0001:PER_RSET          0.053     REA_EBIT:FGEN_N0001:PER_RSET         0.0530001
REA_EBIT:FGEN_N0001:PHA_RSET          1.000     REA_EBIT:FGEN_N0001:PHA_RSET         0.9998122
REA_EBIT:FGEN_N0001:V_RSET            0.260     REA_EBIT:FGEN_N0001:V_RSET           0.2600000
REA_EBIT:FGEN_N0001:V_RSET_HI         3.360     REA_EBIT:FGEN_N0001:V_RSET_HI        3.3600000
REA_EBIT:FGEN_N0001:V_RSET_LO         3.100     REA_EBIT:FGEN_N0001:V_RSET_LO        3.1000000
REA_EBIT:FGEN_N0001:OPMD_RSET             3     REA_EBIT:FGEN_N0001:OPMD_RSET                3
REA_EBIT:FGEN_N0001:DCYC_RSET_P      99.950     REA_EBIT:FGEN_N0001:DCYC_RSET_P     99.9500000
REA_EBIT:FGEN_N0001:SYMM_RSET         0.500     REA_EBIT:FGEN_N0001:SYMM_RSET        0.5000000
REA_EBIT:FGEN_N0001:SWEEP_CMD             0     REA_EBIT:FGEN_N0001:SWEEP_RSTS               0
REA_EBIT:FGEN_N0001:BURST_CMD             1     REA_EBIT:FGEN_N0001:BURST_RSTS               1
REA_EBIT:FGEN_N0001:TRIG_CSET_SRC          1     REA_EBIT:FGEN_N0001:TRIG_RSET_SRC             1
REA_EBIT:FGEN_N0001:BURST_CSET_MOD          0     REA_EBIT:FGEN_N0001:BURST_RSET_MOD             0
REA_EBIT:FGEN_N0001:BURST_CSET_NCYC      1.000     REA_EBIT:FGEN_N0001:BURST_RSET_NCYC     1.0000000
REA_EBIT:FGEN_N0001:BURST_CSET_TDEL      0.000     REA_EBIT:FGEN_N0001:BURST_RSET_TDEL     0.0000000
LEGUNFIL.SETV                         2.300     LEGUNFIL                             2.3047578
LEGUNFIL_I_RD                      ReadOnly     LEGUNFIL_I_RD                        2.3047578
LEGUNCA_I_RD                       ReadOnly     LEGUNCA_I_RD                        -0.3349712
LEGUNAN_I_RD                       ReadOnly     LEGUNAN_I_RD                         0.0695822
LEGUNHV.SETV                     -10000.000     LEGUNHV                          -9951.2626953
LEGUNHV_I_RD                       ReadOnly     LEGUNHV_I_RD                         0.3409680
LEGUNFOC_I_RD                      ReadOnly     LEGUNFOC_I_RD                       -0.0007630
LEGUN_TEMP1                        ReadOnly     LEGUN_TEMP1                         48.3809929
LCOLL_I_RD                         ReadOnly     LCOLL_I_RD                          -0.3435163
LCOLL1_I_RD                        ReadOnly     LCOLL1_I_RD                          0.0086978
LCOLL2_I_RD                        ReadOnly     LCOLL2_I_RD                         -1.4259775
LCOLL3_I_RD                        ReadOnly     LCOLL3_I_RD                         -0.0087893
LCOLL_TEMP1                        ReadOnly     LCOLL_TEMP1                         40.1961403
L007CC                             ReadOnly     L007CC                               0.0000000
L007CC_V                           ReadOnly     L007CC_V                             2.7987533
L010GAS_RD                         ReadOnly     L010GAS_RD                         102.5000000
L010G1CC                           ReadOnly     L010G1CC                          9999.0000000
L010G1CC_V                         ReadOnly     L010G1CC_V                           9.9271755
L010G2CC                           ReadOnly     L010G2CC                          9999.0000000
L010G2CC_V                         ReadOnly     L010G2CC_V                          -0.0206458
L013CC                             ReadOnly     L013CC                               0.0000000
L013CC_V                           ReadOnly     L013CC_V                             2.8234656
L016MCP_SETV                      -1300.000     L016MCP                             -0.4332268
L016PHOS_SETV                      2100.000     L016PHOS                             0.3497659
L016A1                             ReadOnly     L016A1                                       0
L016A2                             ReadOnly     L016A2                                       0
L016CC                             ReadOnly     L016CC                               0.0000000
L016CC_V                           ReadOnly     L016CC_V                             3.3405485
L026MCP_SETV                          0.000     L026MCP_VAL                         -0.2049889
L026PHOS_SETV                         0.000     L026PHOS_VAL                         3.2367933
L026CC                             ReadOnly     L026CC                               0.0000000
L026CC_V                           ReadOnly     L026CC_V                             3.2354426
L034MCP_SETV                          0.000     L034MCP_VAL                         -0.0646959
L034PHOS_SETV                         0.000     L034PHOS_VAL                         0.3517660
L034L-R_SETV                         -6.000     L034L-R                           2003.4014826
L034R-R_SETV                          4.000     L034R-R                              4.0160316
L034CC                             ReadOnly     L034CC                               0.0000000
L034CC_V                           ReadOnly     L034CC_V                             3.0411847
L039DS-F                           ReadOnly     L039DS-F                             0.0532145
L044MCP_SETV                      -1700.000     L044MCP_VAL                         -0.4594981
L044PHOS_SETV                      2000.000     L044PHOS_VAL                         0.1899879
L044L-R_SETV                         -2.500     L044L-R                             -2.4951601
L044R-R_SETV                          2.500     L044R-R                              2.5118323
L044CC                             ReadOnly     L044CC                               0.0000000
L044CC_V                           ReadOnly     L044CC_V                             3.4465926
L052A1                             ReadOnly     L052A1                                       0
L052A2                             ReadOnly     L052A2                                       0
L052CC                             ReadOnly     L052CC                               0.0000002
L052CC_V                           ReadOnly     L052CC_V                             4.2151785
L053MCP.SETV                          0.000     L053MCP                              0.0000000
L053PHOS.SETV                         0.000     L053PHOS                             0.0000000
L053DCBIAS.SETV                       0.000     L053DCBIAS                           0.0398920
L060WCANODE.SETV                    300.000     L060WCANODE                          0.0000000
L060WCDIFF.SETV                     300.000     L060WCDIFF                           0.0000000
L060WCEXIT.SETV                       0.000     L060WCEXIT                           0.0000000
L060WCWIRE.SETV                       0.000     L060WCWIRE                           0.0000000
L061CC                             ReadOnly     L061CC                               0.0000002
L061CC_V                           ReadOnly     L061CC_V                             4.1942196
L062RF_AMPL.SETV                      2.200     REA_RFQ:RF_N0001:E_ACC               2.1981571
L062RF_PHASE.SETV                    33.000     REA_RFQ:RF_N0001:PHA_CAV            32.9363441
L062RF.A_PULS                         3.450     REA_RFQ:RF_N0001:E_ACC               2.1981571
L062RF.P_PULS                        33.000     REA_RFQ:RF_N0001:PHA_CAV            32.9776154
REA_RFQ:RF_N0001:PWR_CAV           ReadOnly     REA_RFQ:RF_N0001:PWR_CAV             0.0483223
REA_RFQ:RF_N0001:PWR_FWD           ReadOnly     REA_RFQ:RF_N0001:PWR_FWD             0.0132392
REA_RFQ:RF_N0001:PWR_REV           ReadOnly     REA_RFQ:RF_N0001:PWR_REV             0.0000111
REA_RFQ:RF_N0001:V_CAV             ReadOnly     REA_RFQ:RF_N0001:V_CAV               2.1982324
REA_RFQ:RF_N0001:V_FWD             ReadOnly     REA_RFQ:RF_N0001:V_FWD               1.1506194
REA_RFQ:RF_N0001:V_REV             ReadOnly     REA_RFQ:RF_N0001:V_REV               0.0315452
L062LCWTI                          ReadOnly     L062LCWTI                           32.1250000
L062AIRTI                          ReadOnly     L062AIRTI                           30.1250000
L062ER1TI                          ReadOnly     L062ER1TI                           32.9375000
L062ER2TI                          ReadOnly     L062ER2TI                           32.7500000
L062ER3TI                          ReadOnly     L062ER3TI                           32.1250000
L062ER4TI                          ReadOnly     L062ER4TI                           33.1250000
L062ER5TI                          ReadOnly     L062ER5TI                           32.5625000
L062ER6TI                          ReadOnly     L062ER6TI                           32.6250000
L062ER7TI                          ReadOnly     L062ER7TI                           32.9375000
L062ER8TI                          ReadOnly     L062ER8TI                           32.7500000
L062ER9TI                          ReadOnly     L062ER9TI                           32.3750000
L062ER10TI                         ReadOnly     L062ER10TI                          32.2500000
L062ER11TI                         ReadOnly     L062ER11TI                          31.6875000
L062ER12TI                         ReadOnly     L062ER12TI                          32.0625000
L062ER13TI                         ReadOnly     L062ER13TI                          32.8125000
L062ER14TI                         ReadOnly     L062ER14TI                          32.2500000
L062ER15TI                         ReadOnly     L062ER15TI                          32.6875000
L062ER16TI                         ReadOnly     L062ER16TI                          32.2500000
L062SR1TI                          ReadOnly     L062SR1TI                           32.7500000
L062SR2TI                          ReadOnly     L062SR2TI                           32.6875000
L062SR3TI                          ReadOnly     L062SR3TI                           33.1875000
L062SR4TI                          ReadOnly     L062SR4TI                           33.4375000
L062SR5TI                          ReadOnly     L062SR5TI                           32.1250000
L062SR6TI                          ReadOnly     L062SR6TI                           32.7500000
L062TR1TI                          ReadOnly     L062TR1TI                           32.3750000
L062TR2TI                          ReadOnly     L062TR2TI                           32.0000000
L062TR3TI                          ReadOnly     L062TR3TI                           32.8125000
L062TR4TI                          ReadOnly     L062TR4TI                           32.3750000
L062TR5TI                          ReadOnly     L062TR5TI                           32.2500000
L062TANK1TI                        ReadOnly     L062TANK1TI                         38.9375000
L062TANK2TI                        ReadOnly     L062TANK2TI                         39.4375000
L062TANK3TI                        ReadOnly     L062TANK3TI                         40.3125000
L062TANK4TI                        ReadOnly     L062TANK4TI                         40.5000000
L062TANK5TI                        ReadOnly     L062TANK5TI                         38.3125000
L062TANK6TI                        ReadOnly     L062TANK6TI                         39.1250000
L062TUNER1TI                       ReadOnly     L062TUNER1TI                        32.1250000
L062TUNER2TI                       ReadOnly     L062TUNER2TI                        32.0000000
L062COUPLERTI                      ReadOnly     L062COUPLERTI                       32.8750000
L062WF                             ReadOnly     L062WF                              10.5579624
L063WF                             ReadOnly     L063WF                              18.3654289
L064WF                             ReadOnly     L064WF                              11.5602236
L065WF                             ReadOnly     L065WF                              13.7906885
L065-R_TPC                         ReadOnly     L065-R_TPC                           9.9019510
L066WF                             ReadOnly     L066WF                              16.5515633
L067WF                             ReadOnly     L067WF                              16.8273125
RFQ_TPC_DIFF                       ReadOnly     RFQ_TPC_DIFF                         0.0000000
L068WF                             ReadOnly     L068WF                              11.1635456
L069-R_TPC                         ReadOnly     L069-R_TPC                           9.9019510
L069WF                             ReadOnly     L069WF                              12.5175438
L067CC                             ReadOnly     L067CC                               0.0000000
L067CC_V                           ReadOnly     L067CC_V                             3.5482574
L072A1                             ReadOnly     L072A1                                       0
L072A2                             ReadOnly     L072A2                                       0
L072L-R.SETV                        -12.500     L072L-R                            -12.5308537
L072R-R.SETV                         12.500     L072R-R                             12.4560203
L072T-R.SETV                         12.500     L072T-R                             12.4602181
L072B-R.SETV                        -12.500     L072B-R                            -18.5277455
L073WCANODE.SETV                      0.000     L073WCANODE                          0.0000000
L073WCDIFF.SETV                       0.000     L073WCDIFF                           0.0000000
L073WCEXIT.SETV                       0.000     L073WCEXIT                           0.0000000
L073WCWIRE.SETV                       0.000     L073WCWIRE                           0.0000000
L073CC                             ReadOnly     L073CC                               0.0000000
L073CC_V                           ReadOnly     L073CC_V                             2.8128300
L075CC                             ReadOnly     L075CC                               0.0000000
L075CC_V                           ReadOnly     L075CC_V                             2.8829005
L075HP                             ReadOnly     L075HP                               1.1372623
L076MT                             ReadOnly     L076MT                               8.8867760
L076HA                             ReadOnly     L076HA                              -5.2490311
REA_CK01:RF_N0001:PWR_CAV          ReadOnly     REA_CK01:RF_N0001:PWR_CAV            0.0625344
REA_CK01:RF_N0001:PWR_FWD          ReadOnly     REA_CK01:RF_N0001:PWR_FWD            2.0351690
REA_CK01:RF_N0001:PWR_REV          ReadOnly     REA_CK01:RF_N0001:PWR_REV            2.0176669
REA_CK01:RF_N0001:V_FWD            ReadOnly     REA_CK01:RF_N0001:V_FWD             14.2659349
REA_CK01:RF_N0001:V_REV            ReadOnly     REA_CK01:RF_N0001:V_REV             14.2044601
L077CC                             ReadOnly     L077CC                               0.0000000
L077CC_V                           ReadOnly     L077CC_V                             1.9560305
L078MT                             ReadOnly     L078MT                              11.7596922
L078HB                             ReadOnly     L078HB                              46.6344147
L080A1                             ReadOnly     L080A1                                       0
L080A2                             ReadOnly     L080A2                                       0
L080WCANODE.SETV                      0.000     L080WCANODE                          0.0000000
L080WCCENT                         ReadOnly     L080WCCENT                          18.1000000
L080WCDIFF.SETV                       0.000     L080WCDIFF                           0.0000000
L080WCEXIT.SETV                       0.000     L080WCEXIT                           0.0000000
L080WCWIRE.SETV                       0.000     L080WCWIRE                           0.0000000
L080FSBIAS.SETV                      60.000     L080FSBIAS                           0.0356500
L080CC                             ReadOnly     L080CC                               0.0000000
L080CC_V                           ReadOnly     L080CC_V                             2.5228508
L081CVCC                           ReadOnly     L081CVCC                             0.0000000
L081HP                             ReadOnly     L081HP                               1.1656601
REA_CL01:RF_N0001:PWR_CAV          ReadOnly     REA_CL01:RF_N0001:PWR_CAV            1.1923961
REA_CL01:RF_N0001:PWR_FWD          ReadOnly     REA_CL01:RF_N0001:PWR_FWD           96.2123279
REA_CL01:RF_N0001:PWR_REV          ReadOnly     REA_CL01:RF_N0001:PWR_REV           95.4522679
REA_CL01:RF_N0001:V_FWD            ReadOnly     REA_CL01:RF_N0001:V_FWD             98.0878830
REA_CL01:RF_N0001:V_REV            ReadOnly     REA_CL01:RF_N0001:V_REV             97.8487091
L082CC                             ReadOnly     L082CC                               0.0000000
L082CC_V                           ReadOnly     L082CC_V                             2.1368375
L083MT                             ReadOnly     L083MT                              16.9566917
L083HA                             ReadOnly     L083HA                               0.0004502
REA_CL01:RF_N0002:PWR_CAV          ReadOnly     REA_CL01:RF_N0002:PWR_CAV            2.5215011
REA_CL01:RF_N0002:PWR_FWD          ReadOnly     REA_CL01:RF_N0002:PWR_FWD          202.3116002
REA_CL01:RF_N0002:PWR_REV          ReadOnly     REA_CL01:RF_N0002:PWR_REV          202.7835797
REA_CL01:RF_N0002:V_FWD            ReadOnly     REA_CL01:RF_N0002:V_FWD            142.2362823
REA_CL01:RF_N0002:V_REV            ReadOnly     REA_CL01:RF_N0002:V_REV            142.4020996
L084CC                             ReadOnly     L084CC                               0.0000000
L084CC_V                           ReadOnly     L084CC_V                             2.1981490
REA_CL01:RF_N0003:PWR_CAV          ReadOnly     REA_CL01:RF_N0003:PWR_CAV            3.1931941
REA_CL01:RF_N0003:PWR_FWD          ReadOnly     REA_CL01:RF_N0003:PWR_FWD          298.3276282
REA_CL01:RF_N0003:PWR_REV          ReadOnly     REA_CL01:RF_N0003:PWR_REV          339.2332079
REA_CL01:RF_N0003:V_FWD            ReadOnly     REA_CL01:RF_N0003:V_FWD            172.7839813
REA_CL01:RF_N0003:V_REV            ReadOnly     REA_CL01:RF_N0003:V_REV            184.1828461
L085CC                             ReadOnly     L085CC                               0.0000000
L085CC_V                           ReadOnly     L085CC_V                             2.2929318
L087MT                             ReadOnly     L087MT                              13.7962742
L087HB                             ReadOnly     L087HB                               0.0072395
L087HD                             ReadOnly     L087HD                              -0.1552302
L087HF                             ReadOnly     L087HF                              -0.0206133
REA_CL01:RF_N0004:PWR_CAV          ReadOnly     REA_CL01:RF_N0004:PWR_CAV            3.1938663
REA_CL01:RF_N0004:PWR_FWD          ReadOnly     REA_CL01:RF_N0004:PWR_FWD          219.5773983
REA_CL01:RF_N0004:PWR_REV          ReadOnly     REA_CL01:RF_N0004:PWR_REV          233.8184254
REA_CL01:RF_N0004:V_FWD            ReadOnly     REA_CL01:RF_N0004:V_FWD            148.1814423
REA_CL01:RF_N0004:V_REV            ReadOnly     REA_CL01:RF_N0004:V_REV            152.9112244
L088CC                             ReadOnly     L088CC                               0.0000000
L088CC_V                           ReadOnly     L088CC_V                             2.3298440
REA_CL01:RF_N0005:PWR_CAV          ReadOnly     REA_CL01:RF_N0005:PWR_CAV            2.3654508
REA_CL01:RF_N0005:PWR_FWD          ReadOnly     REA_CL01:RF_N0005:PWR_FWD          124.4996571
REA_CL01:RF_N0005:PWR_REV          ReadOnly     REA_CL01:RF_N0005:PWR_REV          128.5829376
REA_CL01:RF_N0005:V_FWD            ReadOnly     REA_CL01:RF_N0005:V_FWD            112.5199661
REA_CL01:RF_N0005:V_REV            ReadOnly     REA_CL01:RF_N0005:V_REV            113.3944168
L089CC                             ReadOnly     L089CC                               0.0000000
L089CC_V                           ReadOnly     L089CC_V                             2.3226492
L090MT                             ReadOnly     L090MT                              27.7936840
L090HC                             ReadOnly     L090HC                               0.0324135
L090HE                             ReadOnly     L090HE                              -1.3073962
REA_CL01:RF_N0006:PWR_CAV          ReadOnly     REA_CL01:RF_N0006:PWR_CAV            1.4405230
REA_CL01:RF_N0006:PWR_FWD          ReadOnly     REA_CL01:RF_N0006:PWR_FWD          107.4089366
REA_CL01:RF_N0006:PWR_REV          ReadOnly     REA_CL01:RF_N0006:PWR_REV          105.1654068
REA_CL01:RF_N0006:V_FWD            ReadOnly     REA_CL01:RF_N0006:V_FWD            103.6382828
REA_CL01:RF_N0006:V_REV            ReadOnly     REA_CL01:RF_N0006:V_REV            102.6450729
L091CC                             ReadOnly     L091CC                               0.0000000
L091CC_V                           ReadOnly     L091CC_V                             2.0286036
L092WCANODE.SETV                      0.000     L092WCANODE                          0.0284440
L092WCDIFF.SETV                       0.000     L092WCDIFF                           0.0113130
L092WCEXIT.SETV                       0.000     L092WCEXIT                           0.0171310
L092WCWIRE.SETV                       0.000     L092WCWIRE                           0.0000000
L092FSBIAS.SETV                      60.000     L092FSBIAS                           0.0352780
L093CC                             ReadOnly     L093CC                               0.0000000
L093CC_V                           ReadOnly     L093CC_V                             2.7005296
REA_CM01:CCG_D1099:VP_RD           ReadOnly     REA_CM01:CCG_D1099:VP_RD             0.0000000
L094CC_ON                          ReadOnly     L094CC_ON                                    0
REA_CM01:CCG_D1099:VP_RD           ReadOnly     REA_CM01:CCG_D1099:VP_RD             0.0000000
L094CC_V                           ReadOnly     L094CC_V                           -10.2503128
L100CC                             ReadOnly     L100CC                               0.0000000
L100CC_V                           ReadOnly     L100CC_V                            10.2500000
REA_CM01:CCG_D1146:VP_RD           ReadOnly     REA_CM01:CCG_D1146:VP_RD             0.0000000
L105CC_V                           ReadOnly     L105CC_V                             0.0000000
L110WCANODE.SETV                    300.000     L110WCANODE                          0.0245580
L110WCDIFF.SETV                     300.000     L110WCDIFF                           0.0122000
L110WCEXIT.SETV                       0.000     L110WCEXIT                           0.0123580
L110WCWIRE.SETV                       0.000     L110WCWIRE                           0.0000000
L110FSBIAS.SETV                      60.000     L110FSBIAS                           0.0358180
L110CC                             ReadOnly     L110CC                               0.0000000
L110CC_V                           ReadOnly     L110CC_V                             3.3618197
L113DS-F                           ReadOnly     L113DS-F                             0.6874020
L113FI                             ReadOnly     L113FI                               4.8548880
L116T-R_SETV                         20.000     L116T-R_VAL                         20.0111111
L116B-R_SETV                        -20.000     L116B-R_VAL                        -19.9932403
L116FI                             ReadOnly     L116FI                               3.4542577
L117FI                             ReadOnly     L117FI                               3.4563556
L118FI                             ReadOnly     L118FI                               2.9048393
L119FI                             ReadOnly     L119FI                               3.2922885
L120CC                             ReadOnly     L120CC                               0.0000000
L120CC_V                           ReadOnly     L120CC_V                             2.8575625
L120WCANODE_SETV                      0.000     L120WCANODE_VAL                      0.2602863
L120WCDIFF_SETV                       0.000     L120WCDIFF_VAL                       0.0101264
L120WCEXIT_SETV                       0.000     L120WCEXIT_VAL                       0.2501599
L120WCWIRE_SETV                       0.000     L120WCWIRE_VAL                       0.0000000
L121FI                             ReadOnly     L121FI                               3.2965035
L128DS-F                           ReadOnly     L128DS-F                             0.6871220
L130CC                             ReadOnly     L130CC                               0.0000000
L130CC_V                           ReadOnly     L130CC_V                             2.6357768
L130FSBIAS_SETV                      70.000     L130FSBIAS_VAL                      70.0010223
# ____________________________________________________________________________________________
